T02_City_PK,T02_1_City,T02_2_State,T02_3_PCode,T02_4_Comments
{C8654A38-547D-4C80-8A689987C84C20A6},PATERSON,NEW JERSEY,07503,USA
{8FE40713-3772-4267-93DE00FB2D35D1F2},,,,
{A6020916-09C7-45A3-B65BD2B54775AA25},DUBAI,DUBAI,95703,U.A.E
{A59114F3-8527-446F-921F92CD048ADB2C},MINATO-KU,TOKYO,108-0074,JAPAN
{F456BF91-5F1A-42B3-B773F531772B4BEB},AUR DER BINN 7-9, FURTH I ODW,D-64658,GERMANY
{B281D82F-7F36-491F-BF3A7AE4B8B84F47},GURO-DONG,SEOUL,08377,SOUTH KOREA
